"filename", "language", "JSON", "Markdown", "JavaScript", "Pug", "CSS", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\app.js", "JavaScript", 0, 0, 54, 0, 0, 0, 0, 19, 18, 91
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\controllers\authController.js", "JavaScript", 0, 0, 81, 0, 0, 0, 0, 4, 12, 97
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\controllers\calendarController.js", "JavaScript", 0, 0, 91, 0, 0, 0, 0, 8, 16, 115
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\controllers\callbackController.js", "JavaScript", 0, 0, 86, 0, 0, 0, 0, 7, 19, 112
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\controllers\userController.js", "JavaScript", 0, 0, 81, 0, 0, 0, 0, 0, 9, 90
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\data\load-sample-data.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 5, 6, 46
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\data\reviews.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\data\stores.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\data\users.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\handlers\errorHandlers.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 29, 9, 76
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\handlers\mail.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 0, 5, 36
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\handlers\passport.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\helpers.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 9, 9, 28
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\models\Calendar.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 0, 5, 42
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\models\Callback.js", "JavaScript", 0, 0, 36, 0, 0, 0, 0, 0, 5, 41
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\models\Store.js", "JavaScript", 0, 0, 69, 0, 0, 0, 0, 3, 7, 79
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\models\User.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 0, 8, 50
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\models\studentFocus.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 1, 7, 39
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\package-lock.json", "JSON", 10867, 0, 0, 0, 0, 0, 0, 0, 1, 10868
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\package.json", "JSON", 65, 0, 0, 0, 0, 0, 0, 0, 1, 66
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\dist\App.bundle.js", "JavaScript", 0, 0, 1523, 0, 0, 0, 0, 729, 450, 2702
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\dist\style.css", "CSS", 0, 0, 0, 0, 831, 0, 0, 203, 95, 1129
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\images\icons\add.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\images\icons\addcalendar.svg", "XML", 0, 0, 0, 0, 0, 0, 64, 1, 1, 66
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\images\icons\calendaradd.svg", "XML", 0, 0, 0, 0, 0, 0, 61, 1, 1, 63
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\images\icons\cog.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\images\icons\heart.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\images\icons\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\images\icons\logout.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\images\icons\map.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\images\icons\pencil.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\images\icons\review.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\images\icons\store.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\images\icons\store2.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\images\icons\studentFocus.svg", "XML", 0, 0, 0, 0, 0, 0, 67, 1, 1, 69
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\images\icons\tag.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\images\icons\top.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\javascripts\delicious-app.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 7, 13
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\javascripts\modules\autocomplete.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 1, 3, 17
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\javascripts\modules\bling.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 1, 6, 19
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\javascripts\modules\heart.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\javascripts\modules\map.js", "JavaScript", 0, 0, 56, 0, 0, 0, 0, 3, 7, 66
